deliveryDate,deliveryHour,deliveryInterval,settlementPoint,settlementPointType,settlementPointPrice,DSTFlag
2026-01-02,14,3,HB_NORTH,HU,-0.56,False
2026-01-02,14,4,HB_NORTH,HU,-0.54,False
2026-01-02,15,1,HB_NORTH,HU,-0.87,False
2026-01-02,15,2,HB_NORTH,HU,-1.47,False
2026-01-02,15,3,HB_NORTH,HU,-1.59,False
2026-01-02,15,4,HB_NORTH,HU,-0.92,False
2026-01-02,16,1,HB_NORTH,HU,-1.24,False
2026-01-02,16,2,HB_NORTH,HU,-1.76,False
2026-01-02,16,3,HB_NORTH,HU,-1.73,False
2026-01-02,16,4,HB_NORTH,HU,-1.59,False
2026-01-02,17,1,HB_NORTH,HU,0.31,False
2026-01-02,17,2,HB_NORTH,HU,7.58,False
2026-01-02,17,3,HB_NORTH,HU,16.02,False
2026-01-02,17,4,HB_NORTH,HU,25.08,False
2026-01-02,18,1,HB_NORTH,HU,22.86,False
2026-01-02,18,2,HB_NORTH,HU,23.96,False
2026-01-02,18,3,HB_NORTH,HU,23.89,False
2026-01-02,18,4,HB_NORTH,HU,23.13,False
2026-01-02,19,1,HB_NORTH,HU,22.68,False
2026-01-02,19,2,HB_NORTH,HU,21.85,False
2026-01-02,19,3,HB_NORTH,HU,21.3,False
2026-01-02,19,4,HB_NORTH,HU,20.27,False
2026-01-02,20,1,HB_NORTH,HU,20.49,False
2026-01-02,20,2,HB_NORTH,HU,17.78,False
2026-01-02,20,3,HB_NORTH,HU,17.0,False
2026-01-02,20,4,HB_NORTH,HU,16.7,False
2026-01-02,21,1,HB_NORTH,HU,16.51,False
2026-01-02,21,2,HB_NORTH,HU,16.13,False
2026-01-02,21,3,HB_NORTH,HU,16.16,False
2026-01-02,21,4,HB_NORTH,HU,16.19,False
2026-01-02,22,1,HB_NORTH,HU,16.19,False
2026-01-02,22,2,HB_NORTH,HU,16.06,False
2026-01-02,22,3,HB_NORTH,HU,15.86,False
2026-01-02,22,4,HB_NORTH,HU,15.53,False
2026-01-02,23,1,HB_NORTH,HU,15.79,False
2026-01-02,23,2,HB_NORTH,HU,16.47,False
2026-01-02,23,3,HB_NORTH,HU,16.14,False
2026-01-02,23,4,HB_NORTH,HU,15.26,False
2026-01-02,24,1,HB_NORTH,HU,14.89,False
2026-01-02,24,2,HB_NORTH,HU,14.63,False
2026-01-02,24,3,HB_NORTH,HU,13.99,False
2026-01-02,24,4,HB_NORTH,HU,14.51,False
2026-01-01,1,1,HB_NORTH,HU,17.98,False
2026-01-01,1,2,HB_NORTH,HU,17.66,False
2026-01-01,1,3,HB_NORTH,HU,17.84,False
2026-01-01,1,4,HB_NORTH,HU,18.08,False
2026-01-01,2,1,HB_NORTH,HU,18.65,False
2026-01-01,2,2,HB_NORTH,HU,19.58,False
2026-01-01,2,3,HB_NORTH,HU,19.64,False
2026-01-01,2,4,HB_NORTH,HU,19.97,False
2026-01-01,3,1,HB_NORTH,HU,20.05,False
2026-01-01,3,2,HB_NORTH,HU,20.55,False
2026-01-01,3,3,HB_NORTH,HU,20.77,False
2026-01-01,3,4,HB_NORTH,HU,21.45,False
2026-01-01,4,1,HB_NORTH,HU,21.55,False
2026-01-01,4,2,HB_NORTH,HU,21.68,False
2026-01-01,4,3,HB_NORTH,HU,22.0,False
2026-01-01,4,4,HB_NORTH,HU,22.6,False
2026-01-01,5,1,HB_NORTH,HU,22.25,False
2026-01-01,5,2,HB_NORTH,HU,22.33,False
2026-01-01,5,3,HB_NORTH,HU,23.09,False
2026-01-01,5,4,HB_NORTH,HU,23.62,False
2026-01-01,6,1,HB_NORTH,HU,22.69,False
2026-01-01,6,2,HB_NORTH,HU,23.14,False
2026-01-01,6,3,HB_NORTH,HU,23.93,False
2026-01-01,6,4,HB_NORTH,HU,24.69,False
2026-01-01,7,1,HB_NORTH,HU,23.04,False
2026-01-01,7,2,HB_NORTH,HU,23.53,False
2026-01-01,7,3,HB_NORTH,HU,23.44,False
2026-01-01,7,4,HB_NORTH,HU,24.02,False
