,V_i,D_i,spread_p90,spread_p95,spread_mean,cheap_freq_lt0,spike_freq_gt500,spike_runlen_gt500,spike_freq_gt1000,spike_runlen_gt1000,basis_abs_p95,basis_abs_p99,basis_sign_flip_rate,basis_extreme_avg_runlen
MIDWY_RN,10.4698717195499,0.0,53.746,58.63049999999999,33.90479166666667,0.1076388888888889,0.0,0.0,0.0,0.0,22.247499999999995,33.310699999999976,0.028985507246376812,7.25
MIL_MILG345,0.6942613348487855,0.0,37.1395,39.832249999999995,23.675833333333333,0.2048611111111111,0.0,0.0,0.0,0.0,18.648999999999997,22.603900000000003,0.012121212121212121,9.666666666666666
MLSES_UNIT3,-3.1832840882907014,0.0,34.099833333333336,36.21908333333333,19.56791666666667,0.10416666666666667,0.0,0.0,0.0,0.0,2.9859999999999993,3.5813000000000015,0.01910828025477707,9.666666666666666
MYR_ALL,-6.4533496230897756,0.012031250000003268,26.183749999999996,26.59187499999999,16.225624999999997,0.10416666666666667,0.0,0.0,0.0,0.0,11.160499999999997,18.060999999999996,0.00975609756097561,5.8
NCO_RN,-6.473789143503169,0.029739583333334707,26.144166666666663,26.54166666666666,16.207916666666666,0.10416666666666667,0.0,0.0,0.0,0.0,11.216999999999995,18.293599999999994,0.00975609756097561,5.8
ODESW_RN,10.694183090268309,0.0,53.86816666666668,58.65241666666667,34.1525,0.1076388888888889,0.0,0.0,0.0,0.0,22.9455,33.024099999999976,0.028985507246376812,7.25
PAP1_PAP1,-5.887754528618096,0.0,27.9795,29.141,16.420416666666664,0.0763888888888889,0.0,0.0,0.0,0.0,19.320999999999987,33.711,0.0196078431372549,4.833333333333333
PB2SES_CT2,10.77979518734298,0.0,54.050583333333336,58.93070833333332,34.165,0.1076388888888889,0.0,0.0,0.0,0.0,22.532,34.66469999999997,0.028985507246376812,5.8
PB2SES_CT4,10.77979518734298,0.0,54.050583333333336,58.93070833333332,34.165,0.1076388888888889,0.0,0.0,0.0,0.0,22.532,34.66469999999997,0.028985507246376812,5.8
PH2_U1_U2,3.75801961141013,0.0,41.26925000000001,45.84962499999999,26.318125000000002,0.2881944444444444,0.0,0.0,0.0,0.0,22.012999999999998,27.676699999999993,0.03271028037383177,5.8
PINEFRST_RN,-1.1762179756196345,0.0,37.30533333333334,38.85058333333334,21.652500000000003,0.10416666666666667,0.0,0.0,0.0,0.0,8.231499999999997,9.89,0.010582010582010581,9.666666666666666
PPEC_RN,-3.6241936262806065,0.0,32.90558333333333,34.831958333333326,19.058333333333334,0.10416666666666667,0.0,0.0,0.0,0.0,2.120000000000003,3.0752,0.010810810810810811,7.25
PTLBES_BESS1,-7.4320054029582225,0.9782812500000002,24.431833333333334,24.610083333333332,15.259375,0.0763888888888889,0.0,0.0,0.0,0.0,14.353499999999995,28.48429999999999,0.030303030303030304,5.8
QUEEN_SL_RN,11.545721991129923,0.0,54.97100000000002,60.01675,35.046875,0.1111111111111111,0.0,0.0,0.0,0.0,22.3795,40.56309999999995,0.028846153846153848,4.142857142857143
RAT_RN_1,31.762963857742825,0.0,107.47600000000001,123.36549999999995,53.03458333333333,0.10069444444444445,0.0,0.0,0.0,0.0,48.903499999999866,129.69,0.07352941176470588,9.666666666666666
REROCK_ALL,11.29945848384127,0.0,54.74316666666667,59.80741666666665,34.73291666666667,0.1076388888888889,0.0,0.0,0.0,0.0,22.0395,38.94699999999995,0.028846153846153848,4.142857142857143
RIOG_ESR_RN,-4.89205322891795,0.0,28.738833333333336,28.994833333333336,17.717916666666667,0.09375,0.0,0.0,0.0,0.0,18.26299999999998,33.3952,0.028985507246376812,4.833333333333333
RN_DEC_AGR_C,33.77995399139913,0.0,94.47766666666668,100.43091666666666,55.91333333333333,0.2743055555555556,0.0,0.0,0.0,0.0,91.98299999999998,110.43560000000001,0.01,9.666666666666666
RN_LNP_SLR,-6.435903518507757,0.0,26.213,26.62775,16.241666666666667,0.10416666666666667,0.0,0.0,0.0,0.0,11.150499999999997,17.950999999999997,0.00975609756097561,5.8
RN_RHN_ESR,-6.104457032731948,0.0,27.123416666666667,27.748791666666666,16.63479166666667,0.10416666666666667,0.0,0.0,0.0,0.0,10.198999999999993,15.357999999999992,0.00980392156862745,7.25
RN_SOLC_SLR,3.262860547644327,0.0,42.701750000000004,46.75212499999999,25.925208333333334,0.1597222222222222,0.0,0.0,0.0,0.0,16.987,20.1752,0.029556650246305417,7.25
ROW_ALL,-6.423835923903236,0.0,26.239666666666665,26.661916666666663,16.250833333333333,0.10416666666666667,0.0,0.0,0.0,0.0,11.120499999999996,17.80099999999999,0.00975609756097561,5.8
RSK_RN,14.092683613968333,0.0,56.52966666666667,60.33316666666666,37.72270833333334,0.21180555555555555,0.0,0.0,0.0,0.0,27.559500000000003,32.99439999999999,0.05339805825242718,5.8
RUSSEKST_RN,44.1646255401197,0.0,123.35375000000003,133.414375,67.34270833333335,0.0763888888888889,0.0,0.0,0.0,0.0,67.09349999999988,171.27379999999985,0.04830917874396135,4.833333333333333
SAMSON_ALL,-1.6313363131285017,0.0,36.67633333333334,38.45733333333333,21.17125,0.10416666666666667,0.0,0.0,0.0,0.0,6.688499999999997,8.04,0.0106951871657754,9.666666666666666
SANDHSYD1_2,-7.6593876658158315,1.2324479166666684,24.223583333333334,24.30345833333333,15.005208333333332,0.10416666666666667,0.0,0.0,0.0,0.0,16.265999999999995,32.62639999999999,0.03940886699507389,7.25
